edge_id	src_id	dst_id	relation_type	confidence	page_no	sentence_id
t00370	e00405	e00406	related_to	0.5	4	s0096
t00371	e00406	e00407	related_to	0.5	4	s0096
t00372	e00408	e00409	related_to	0.5	4	s0097
t00373	e00409	e00410	related_to	0.5	4	s0097
t00374	e00410	e00411	related_to	0.5	4	s0097
t00375	e00411	e00412	related_to	0.5	4	s0097
t00376	e00412	e00413	related_to	0.5	4	s0097
t00377	e00413	e00414	related_to	0.5	4	s0097
t00378	e00415	e00416	related_to	0.5	4	s0098
t00379	e00416	e00417	related_to	0.5	4	s0098
t00380	e00417	e00418	related_to	0.5	4	s0098
t00381	e00418	e00419	related_to	0.5	4	s0098
t00382	e00419	e00420	related_to	0.5	4	s0098
t00383	e00420	e00421	related_to	0.5	4	s0098
t00384	e00421	e00422	related_to	0.5	4	s0098
t00385	e00422	e00423	related_to	0.5	4	s0098
t00386	e00423	e00424	related_to	0.5	4	s0098
t00387	e00426	e00427	related_to	0.5	4	s0100
t00388	e00428	e00429	related_to	0.5	4	s0101
t00389	e00429	e00430	related_to	0.5	4	s0101
t00390	e00430	e00431	related_to	0.5	4	s0101
t00391	e00431	e00432	related_to	0.5	4	s0101
t00392	e00432	e00433	related_to	0.5	4	s0101
t00393	e00433	e00434	related_to	0.5	4	s0101
t00394	e00434	e00435	related_to	0.5	4	s0101
t00395	e00435	e00436	related_to	0.5	4	s0101
t00396	e00437	e00438	related_to	0.5	4	s0102
t00397	e00438	e00439	related_to	0.5	4	s0102
t00398	e00439	e00440	related_to	0.5	4	s0102
t00399	e00440	e00441	related_to	0.5	4	s0102
t00400	e00441	e00442	related_to	0.5	4	s0102
t00401	e00442	e00443	related_to	0.5	4	s0102
t00402	e00443	e00444	related_to	0.5	4	s0102
t00403	e00444	e00445	related_to	0.5	4	s0102
t00404	e00445	e00446	related_to	0.5	4	s0102
t00405	e00446	e00447	related_to	0.5	4	s0102
t00406	e00448	e00449	related_to	0.5	4	s0103
t00407	e00449	e00450	related_to	0.5	4	s0103
t00408	e00450	e00451	related_to	0.5	4	s0103
t00409	e00451	e00452	related_to	0.5	4	s0103
t00410	e00452	e00453	related_to	0.5	4	s0103
t00411	e00454	e00455	related_to	0.5	4	s0104
t00412	e00455	e00456	related_to	0.5	4	s0104
t00413	e00456	e00457	related_to	0.5	4	s0104
t00414	e00457	e00458	related_to	0.5	4	s0104
t00415	e00458	e00459	related_to	0.5	4	s0104
t00416	e00461	e00462	related_to	0.5	4	s0106
t00417	e00463	e00464	related_to	0.5	4	s0107
t00418	e00465	e00466	related_to	0.5	4	s0108
t00419	e00467	e00468	related_to	0.5	4	s0109
t00420	e00468	e00469	related_to	0.5	4	s0109
t00421	e00469	e00470	related_to	0.5	4	s0109
t00422	e00470	e00471	related_to	0.5	4	s0109
t00423	e00471	e00472	related_to	0.5	4	s0109
t00424	e00475	e00476	related_to	0.5	5	s0113
t00425	e00476	e00477	related_to	0.5	5	s0113
t00426	e00477	e00478	related_to	0.5	5	s0113
t00427	e00478	e00479	related_to	0.5	5	s0113
t00428	e00480	e00481	related_to	0.5	5	s0114
t00429	e00481	e00482	related_to	0.5	5	s0114
t00430	e00482	e00483	related_to	0.5	5	s0114
t00431	e00485	e00486	related_to	0.5	5	s0116
t00432	e00486	e00487	related_to	0.5	5	s0116
t00433	e00487	e00488	related_to	0.5	5	s0116
t00434	e00489	e00490	related_to	0.5	5	s0118
t00435	e00491	e00492	related_to	0.5	5	s0119
t00436	e00493	e00494	related_to	0.5	5	s0120
t00437	e00494	e00495	related_to	0.5	5	s0120
t00438	e00495	e00496	related_to	0.5	5	s0120
t00439	e00496	e00497	related_to	0.5	5	s0120
t00440	e00497	e00498	related_to	0.5	5	s0120
t00441	e00498	e00499	related_to	0.5	5	s0120
t00442	e00499	e00500	related_to	0.5	5	s0120
t00443	e00501	e00502	related_to	0.5	5	s0121
t00444	e00502	e00503	related_to	0.5	5	s0121
t00445	e00503	e00504	related_to	0.5	5	s0121
t00446	e00504	e00505	related_to	0.5	5	s0121
t00447	e00505	e00506	related_to	0.5	5	s0121
t00448	e00506	e00507	related_to	0.5	5	s0121
t00449	e00507	e00508	related_to	0.5	5	s0121
t00450	e00510	e00511	related_to	0.5	5	s0124
t00451	e00511	e00512	related_to	0.5	5	s0124
t00452	e00512	e00513	related_to	0.5	5	s0124
t00453	e00513	e00514	related_to	0.5	5	s0124
t00454	e00514	e00515	related_to	0.5	5	s0124
t00455	e00516	e00517	related_to	0.5	5	s0125
t00456	e00517	e00518	related_to	0.5	5	s0125
t00457	e00518	e00519	related_to	0.5	5	s0125
t00458	e00519	e00520	related_to	0.5	5	s0125
t00459	e00521	e00522	related_to	0.5	5	s0126
t00460	e00522	e00523	related_to	0.5	5	s0126
t00461	e00523	e00524	related_to	0.5	5	s0126
t00462	e00525	e00526	related_to	0.5	5	s0127
t00463	e00526	e00527	related_to	0.5	5	s0127
t00464	e00528	e00529	related_to	0.5	5	s0128
t00465	e00529	e00530	related_to	0.5	5	s0128
t00466	e00530	e00531	related_to	0.5	5	s0128
t00467	e00531	e00532	related_to	0.5	5	s0128
t00468	e00532	e00533	related_to	0.5	5	s0128
t00469	e00533	e00534	related_to	0.5	5	s0128
t00470	e00535	e00536	related_to	0.5	5	s0129
t00471	e00536	e00537	related_to	0.5	5	s0129
t00472	e00537	e00538	related_to	0.5	5	s0129
t00473	e00538	e00539	related_to	0.5	5	s0129
t00474	e00539	e00540	related_to	0.5	5	s0129
t00475	e00540	e00541	related_to	0.5	5	s0129
t00476	e00541	e00542	related_to	0.5	5	s0129
t00477	e00542	e00543	related_to	0.5	5	s0129
t00478	e00544	e00545	related_to	0.5	5	s0130
t00479	e00545	e00546	related_to	0.5	5	s0130
t00480	e00546	e00547	related_to	0.5	5	s0130
t00481	e00547	e00548	related_to	0.5	5	s0130
t00482	e00548	e00549	related_to	0.5	5	s0130
t00483	e00550	e00551	related_to	0.5	5	s0131
t00484	e00551	e00552	related_to	0.5	5	s0131
t00485	e00554	e00555	related_to	0.5	5	s0133
t00486	e00555	e00556	related_to	0.5	5	s0133
t00487	e00557	e00558	related_to	0.5	5	s0134
t00488	e00559	e00560	related_to	0.5	5	s0135
t00489	e00560	e00561	related_to	0.5	5	s0135
t00490	e00561	e00562	related_to	0.5	5	s0135
t00491	e00562	e00563	related_to	0.5	5	s0135
t00492	e00563	e00564	related_to	0.5	5	s0135
t00493	e00564	e00565	related_to	0.5	5	s0135
t00494	e00566	e00567	related_to	0.5	5	s0136
t00495	e00567	e00568	related_to	0.5	5	s0136
t00496	e00568	e00569	related_to	0.5	5	s0136
t00497	e00569	e00570	related_to	0.5	5	s0136
t00498	e00570	e00571	related_to	0.5	5	s0136
t00499	e00571	e00572	related_to	0.5	5	s0136
t00500	e00574	e00575	related_to	0.5	5	s0138
t00501	e00576	e00577	related_to	0.5	5	s0139
t00502	e00577	e00578	related_to	0.5	5	s0139
t00503	e00579	e00580	related_to	0.5	5	s0140
t00504	e00580	e00581	related_to	0.5	5	s0140
t00505	e00581	e00582	related_to	0.5	5	s0140
t00506	e00582	e00583	related_to	0.5	5	s0140
t00507	e00583	e00584	related_to	0.5	5	s0140
t00508	e00584	e00585	related_to	0.5	5	s0140
t00509	e00586	e00587	related_to	0.5	5	s0141
t00510	e00587	e00588	related_to	0.5	5	s0141
t00511	e00588	e00589	related_to	0.5	5	s0141
t00512	e00589	e00590	related_to	0.5	5	s0141
t00513	e00590	e00591	related_to	0.5	5	s0141
t00514	e00591	e00592	related_to	0.5	5	s0141
t00515	e00593	e00594	related_to	0.5	5	s0142
t00516	e00594	e00595	related_to	0.5	5	s0142
t00517	e00596	e00597	related_to	0.5	5	s0143
t00518	e00597	e00598	related_to	0.5	5	s0143
t00519	e00598	e00599	related_to	0.5	5	s0143
t00520	e00600	e00601	related_to	0.5	5	s0144
t00521	e00601	e00602	related_to	0.5	5	s0144
t00522	e00604	e00605	related_to	0.5	5	s0146
t00523	e00605	e00606	related_to	0.5	5	s0146
t00524	e00607	e00608	related_to	0.5	5	s0147
t00525	e00608	e00609	related_to	0.5	5	s0147
t00526	e00610	e00611	related_to	0.5	5	s0148
t00527	e00611	e00612	related_to	0.5	5	s0148
t00528	e00612	e00613	related_to	0.5	5	s0148
t00529	e00613	e00614	related_to	0.5	5	s0148
t00530	e00615	e00616	related_to	0.5	5	s0149
t00531	e00619	e00620	related_to	0.5	6	s0152
t00532	e00620	e00621	related_to	0.5	6	s0152
t00533	e00622	e00623	related_to	0.5	6	s0153
t00534	e00624	e00625	related_to	0.5	6	s0154
t00535	e00625	e00626	related_to	0.5	6	s0154
