edge_key,src_name,src_label,relation_type,dst_name,dst_label,status
客观原因||Concept||causes||对象错误||Concept,客观原因,Concept,causes,对象错误,Concept,FP
客观构成要件要素||Concept||defines||故意的认识内容||Concept,客观构成要件要素,Concept,defines,故意的认识内容,Concept,FP
对象错误||Concept||related_to||姓名||Concept,对象错误,Concept,related_to,姓名,Concept,FP
小美||Person||related_to||七点半||Time,小美,Person,related_to,七点半,Time,FP
小芳||Person||related_to||公用电话亭||Location,小芳,Person,related_to,公用电话亭,Location,FP
少数说||Concept||related_to||杀人||Crime,少数说,Concept,related_to,杀人,Crime,FP
尸体||Other||part_of||河里||Location,尸体,Other,part_of,河里,Location,FP
帘藏||Law||related_to||包庇罪||Law,帘藏,Law,related_to,包庇罪,Law,FP
帮助毁灭证据罪||Crime||related_to||上游犯罪||Crime,帮助毁灭证据罪,Crime,related_to,上游犯罪,Crime,FP
应然状态||Concept||related_to||实然状态||Concept,应然状态,Concept,related_to,实然状态,Concept,FP
建筑工人||Other||related_to||工地上||Location,建筑工人,Other,related_to,工地上,Location,FP
开始犯罪||Concept||related_to||着手犯罪||Concept,开始犯罪,Concept,related_to,着手犯罪,Concept,FP
开枪||Crime||causes||路人两||Person,开枪,Crime,causes,路人两,Person,FP
开枪||Crime||causes||重伤||Crime,开枪,Crime,causes,重伤,Crime,FP
开枪行为||Crime||related_to||扫“尸”行为||Crime,开枪行为,Crime,related_to,扫“尸”行为,Crime,FP
开枪行为||Crime||related_to||生命法益||Concept,开枪行为,Crime,related_to,生命法益,Concept,FP
张三||Person||related_to||杀人动机||Concept,张三,Person,related_to,杀人动机,Concept,FP
张三||Person||related_to||李四||Person,张三,Person,related_to,李四,Person,FP
张明楷||Person||related_to||刑法学||Book,张明楷,Person,related_to,刑法学,Book,FP
强制猥褒罪||Crime||related_to||绑架罪||Crime,强制猥褒罪,Crime,related_to,绑架罪,Crime,FP
强奸罪||Crime||includes||强制猥褒罪||Crime,强奸罪,Crime,includes,强制猥褒罪,Crime,FP
当然解释原理||Concept||applies_to||犯罪||Crime,当然解释原理,Concept,applies_to,犯罪,Crime,FP
当然解释原理||Concept||related_to||概括故意||Concept,当然解释原理,Concept,related_to,概括故意,Concept,FP
必然发生||Concept||related_to||放任心理||Concept,必然发生,Concept,related_to,放任心理,Concept,FP
想象竞合||Concept||related_to||因果关系错误||Concept,想象竞合,Concept,related_to,因果关系错误,Concept,FP
想象竟合||Concept||applies_to||故意杀人罪既遂||Crime,想象竟合,Concept,applies_to,故意杀人罪既遂,Crime,FP
意外事件||Concept||related_to||故意||Concept,意外事件,Concept,related_to,故意,Concept,FP
打击错误||Crime||related_to||方法错误||Crime,打击错误,Crime,related_to,方法错误,Crime,FP
打击错误||Crime||related_to||法定符合说||Law,打击错误,Crime,related_to,法定符合说,Law,FP
打击错误||Crime||related_to||结果的推迟发生||Concept,打击错误,Crime,related_to,结果的推迟发生,Concept,FP
抢动罪||Crime||related_to||故意||Crime,抢动罪,Crime,related_to,故意,Crime,FP
抢动罪||Crime||related_to||盗窃罪||Crime,抢动罪,Crime,related_to,盗窃罪,Crime,FP
抢劫罪||Crime||related_to||扔的行为||Crime,抢劫罪,Crime,related_to,扔的行为,Crime,FP
抢劫罪||Crime||related_to||盗窃罪||Crime,抢劫罪,Crime,related_to,盗窃罪,Crime,FP
抽象的认识错误||Concept||related_to||因果关系错误||Concept,抽象的认识错误,Concept,related_to,因果关系错误,Concept,FP
推迟发生||Concept||defines||事前故意||Concept,推迟发生,Concept,defines,事前故意,Concept,FP
撩饰||Law||related_to||犯罪所得||Crime,撩饰,Law,related_to,犯罪所得,Crime,FP
放任的态度||Concept||defines||无所谓的态度||Concept,放任的态度,Concept,defines,无所谓的态度,Concept,FP
放火罪||Crime||related_to||失火罪||Crime,放火罪,Crime,related_to,失火罪,Crime,FP
故意伤害||Crime||related_to||隐藏尸体||Crime,故意伤害,Crime,related_to,隐藏尸体,Crime,FP
故意伤害罪||Crime||defines||伤害健康||Concept,故意伤害罪,Crime,defines,伤害健康,Concept,FP
故意伤害罪||Crime||related_to||过失致死亡罪||Crime,故意伤害罪,Crime,related_to,过失致死亡罪,Crime,FP
故意伤害行为||Crime||includes||暴力行为||Crime,故意伤害行为,Crime,includes,暴力行为,Crime,FP
故意杀||Crime||causes||隐藏尸体||Crime,故意杀,Crime,causes,隐藏尸体,Crime,FP
故意杀人||Crime||applies_to||对象错误||Concept,故意杀人,Crime,applies_to,对象错误,Concept,FP
故意杀人罪||Crime||related_to||过失致人死亡罪||Crime,故意杀人罪,Crime,related_to,过失致人死亡罪,Crime,FP
故意杀人罪||Law||applies_to||他人||Concept,故意杀人罪,Law,applies_to,他人,Concept,FP
故意杀人罪||Law||related_to||过失致人死亡罪||Law,故意杀人罪,Law,related_to,过失致人死亡罪,Law,FP
故意杀人罪既六||Crime||related_to||想象竟合||Concept,故意杀人罪既六,Crime,related_to,想象竟合,Concept,FP
故意杀人罪未遂||Crime||related_to||故意杀人罪既六||Crime,故意杀人罪未遂,Crime,related_to,故意杀人罪既六,Crime,FP
故意犯罪||Crime||causes||刑事责任||Law,故意犯罪,Crime,causes,刑事责任,Law,FP
故意的理论分类||Concept||includes||概括的故意||Concept,故意的理论分类,Concept,includes,概括的故意,Concept,FP
明知||Concept||part_of||故犯||Concept,明知,Concept,part_of,故犯,Concept,FP
暴风雨||Other||causes||船工||Person,暴风雨,Other,causes,船工,Person,FP
有无结果避免可能性||Concept||applies_to||行为人||Concept,有无结果避免可能性,Concept,applies_to,行为人,Concept,FP
有无预见可能性||Concept||applies_to||行为人||Person,有无预见可能性,Concept,applies_to,行为人,Person,FP
有毒茶水||Crime||causes||中毒死亡||Crime,有毒茶水,Crime,causes,中毒死亡,Crime,FP
未遂||Concept||related_to||故意杀人罪既遂||Crime,未遂,Concept,related_to,故意杀人罪既遂,Crime,FP
未遂与过失致人死亡||Crime||related_to||想象竞合||Concept,未遂与过失致人死亡,Crime,related_to,想象竞合,Concept,FP
朴忽大意||Person||causes||过失||Crime,朴忽大意,Person,causes,过失,Crime,FP
朴忽大意的过失||Concept||related_to||意外事件||Concept,朴忽大意的过失,Concept,related_to,意外事件,Concept,FP
杀人||Crime||related_to||人的生命||Concept,杀人,Crime,related_to,人的生命,Concept,FP
杀人动机||Concept||related_to||动机错误||Concept,杀人动机,Concept,related_to,动机错误,Concept,FP
杀人动机||Concept||related_to||杀人故意||Concept,杀人动机,Concept,related_to,杀人故意,Concept,FP
杀害行为||Crime||related_to||过失行为||Crime,杀害行为,Crime,related_to,过失行为,Crime,FP
李四||Person||related_to||张三||Person,李四,Person,related_to,张三,Person,FP
李某||Person||related_to||小卖部||Location,李某,Person,related_to,小卖部,Location,FP
李茶||Person||applies_to||过于自信的过失||Concept,李茶,Person,applies_to,过于自信的过失,Concept,FP
构成要件||Concept||related_to||认识错误||Concept,构成要件,Concept,related_to,认识错误,Concept,FP
构成要件的提前实现||Concept||defines||前行为||Concept,构成要件的提前实现,Concept,defines,前行为,Concept,FP
枪支||Other||related_to||火药||Other,枪支,Other,related_to,火药,Other,FP
某超市||Org||causes||食品质量||Concept,某超市,Org,causes,食品质量,Concept,FP
树下||Location||related_to||仇人||Concept,树下,Location,related_to,仇人,Concept,FP
概括故意||Concept||related_to||择一故意||Concept,概括故意,Concept,related_to,择一故意,Concept,FP
次日晚上||Time||related_to||渔船||Other,次日晚上,Time,related_to,渔船,Other,FP
毒死其他同学||Crime||causes||故意杀人罪||Law,毒死其他同学,Crime,causes,故意杀人罪,Law,FP
毒酒案||Crime||related_to||妻子||Person,毒酒案,Crime,related_to,妻子,Person,FP
水库||Location||causes||溺死||Crime,水库,Location,causes,溺死,Crime,FP
汽车||Other||related_to||头部||Other,汽车,Other,related_to,头部,Other,FP
法官||Person||related_to||犯罪过失||Crime,法官,Person,related_to,犯罪过失,Crime,FP
法定符合说||Concept||related_to||想象竞合||Concept,法定符合说,Concept,related_to,想象竞合,Concept,FP
法导致死亡||Crime||related_to||死法导致死亡||Crime,法导致死亡,Crime,related_to,死法导致死亡,Crime,FP
洪某||Person||causes||赵某||Person,洪某,Person,causes,赵某,Person,FP
海浪||Other||causes||船长||Person,海浪,Other,causes,船长,Person,FP
火车站||Location||related_to||公文包||Other,火车站,Location,related_to,公文包,Other,FP
火车站大厅||Location||related_to||枪支||Crime,火车站大厅,Location,related_to,枪支,Crime,FP
犯罪||Crime||causes||既遂||Concept,犯罪,Crime,causes,既遂,Concept,FP
犯罪||Crime||related_to||间接故意||Concept,犯罪,Crime,related_to,间接故意,Concept,FP
犯罪分子||Crime||related_to||撩饰||Law,犯罪分子,Crime,related_to,撩饰,Law,FP
犯罪故意||Concept||includes||明知||Concept,犯罪故意,Concept,includes,明知,Concept,FP
犯罪过失||Crime||related_to||过失犯罪||Crime,犯罪过失,Crime,related_to,过失犯罪,Crime,FP
狗蛋||Person||causes||小芳||Person,狗蛋,Person,causes,小芳,Person,FP
狗蛋||Person||related_to||小芳||Person,狗蛋,Person,related_to,小芳,Person,FP
狭义的因果关系错误||Concept||related_to||结果的推识发生||Concept,狭义的因果关系错误,Concept,related_to,结果的推识发生,Concept,FP
狭义的因果关系错误||Concept||related_to||行为人||Person,狭义的因果关系错误,Concept,related_to,行为人,Person,FP
猥训儿童罪||Crime||applies_to||行为人||Person,猥训儿童罪,Crime,applies_to,行为人,Person,FP
生命法益||Concept||related_to||不能犯||Law,生命法益,Concept,related_to,不能犯,Law,FP
电话亭||Location||related_to||中毒身亡||Crime,电话亭,Location,related_to,中毒身亡,Crime,FP
电话亭投毒案||Crime||applies_to||第14条||Law,电话亭投毒案,Crime,applies_to,第14条,Law,FP
电话亭投毒案||Crime||related_to||狗蛋||Person,电话亭投毒案,Crime,related_to,狗蛋,Person,FP
疏忽大意的过失||Concept||applies_to||过失致人死亡罪||Crime,疏忽大意的过失,Concept,applies_to,过失致人死亡罪,Crime,FP
病人||Person||causes||感染重伤||Crime,病人,Person,causes,感染重伤,Crime,FP
盗宅普通财物||Crime||related_to||盗穷罪||Crime,盗宅普通财物,Crime,related_to,盗穷罪,Crime,FP
盗宅枪支||Crime||includes||盗宅普通财物||Crime,盗宅枪支,Crime,includes,盗宅普通财物,Crime,FP
盗宅罪||Crime||includes||盗宅枪支||Crime,盗宅罪,Crime,includes,盗宅枪支,Crime,FP
盗穷枪支罪||Crime||related_to||普通盗穷罪||Crime,盗穷枪支罪,Crime,related_to,普通盗穷罪,Crime,FP
盗窃||Crime||related_to||仓库||Location,盗窃,Crime,related_to,仓库,Location,FP
盗窃罪||Crime||related_to||资宅罪||Crime,盗窃罪,Crime,related_to,资宅罪,Crime,FP
直接故意||Concept||related_to||间接故意||Concept,直接故意,Concept,related_to,间接故意,Concept,FP
第14条||Law||defines||故意犯罪||Concept,第14条,Law,defines,故意犯罪,Concept,FP
绑架罪||Crime||includes||非法拘禁罪||Crime,绑架罪,Crime,includes,非法拘禁罪,Crime,FP
结果的推识发生||Concept||related_to||结果的提前发生||Concept,结果的推识发生,Concept,related_to,结果的提前发生,Concept,FP
结果的推迟发生||Concept||related_to||结果的提前实现||Concept,结果的推迟发生,Concept,related_to,结果的提前实现,Concept,FP
结果的提前发生||Concept||defines||构成要件的提前实现||Concept,结果的提前发生,Concept,defines,构成要件的提前实现,Concept,FP
绪架||Crime||applies_to||小学||Location,绪架,Crime,applies_to,小学,Location,FP
罪名||Law||defines||重罪||Law,罪名,Law,defines,重罪,Law,FP
罪过形式的区分||Concept||related_to||狗蛋||Person,罪过形式的区分,Concept,related_to,狗蛋,Person,FP
考生||Other||applies_to||盗窃||Crime,考生,Other,applies_to,盗窃,Crime,FP
船工||Person||causes||客船||Other,船工,Person,causes,客船,Other,FP
苹果||Other||causes||中毒身亡||Crime,苹果,Other,causes,中毒身亡,Crime,FP
行为人||Concept||related_to||动机错误||Concept,行为人,Concept,related_to,动机错误,Concept,FP
行为人||Person||applies_to||客观构成要件||Concept,行为人,Person,applies_to,客观构成要件,Concept,FP
行为人||Person||related_to||因果流程||Concept,行为人,Person,related_to,因果流程,Concept,FP
行为人||Person||related_to||实害对象||Concept,行为人,Person,related_to,实害对象,Concept,FP
行为人||Person||related_to||故意犯罪||Crime,行为人,Person,related_to,故意犯罪,Crime,FP
行为人||Person||related_to||被害人||Person,行为人,Person,related_to,被害人,Person,FP
行为对象||Concept||applies_to||犯罪||Crime,行为对象,Concept,applies_to,犯罪,Crime,FP
警察||Org||applies_to||玩忽职守罪||Crime,警察,Org,applies_to,玩忽职守罪,Crime,FP
警察||Org||includes||警犬||Other,警察,Org,includes,警犬,Other,FP
警察||Other||related_to||警大||Org,警察,Other,related_to,警大,Org,FP
警犬||Other||related_to||逃犯甲||Crime,警犬,Other,related_to,逃犯甲,Crime,FP
计划杀人的预备行为||Crime||causes||后行为||Concept,计划杀人的预备行为,Crime,causes,后行为,Concept,FP
认识错误||Concept||related_to||法益种类||Law,认识错误,Concept,related_to,法益种类,Law,FP
该案||Crime||applies_to||事前故意||Concept,该案,Crime,applies_to,事前故意,Concept,FP
误杀儿子案||Crime||applies_to||狗蛋||Person,误杀儿子案,Crime,applies_to,狗蛋,Person,FP
误杀儿子案||Crime||related_to||直接故意||Concept,误杀儿子案,Crime,related_to,直接故意,Concept,FP
财产犯罪||Crime||related_to||骏力||Other,财产犯罪,Crime,related_to,骏力,Other,FP
贩卖毒品罪||Crime||defines||毒品||Concept,贩卖毒品罪,Crime,defines,毒品,Concept,FP
赵某||Person||causes||凶器||Other,赵某,Person,causes,凶器,Other,FP
超市||Org||causes||顾客||Person,超市,Org,causes,顾客,Person,FP
路人两||Person||related_to||打死||Crime,路人两,Person,related_to,打死,Crime,FP
身份||Concept||related_to||位置||Concept,身份,Concept,related_to,位置,Concept,FP
轻罪||Concept||related_to||重罪||Concept,轻罪,Concept,related_to,重罪,Concept,FP
轻罪||Crime||related_to||抢动罪||Crime,轻罪,Crime,related_to,抢动罪,Crime,FP
轻罪||Crime||related_to||重罪||Crime,轻罪,Crime,related_to,重罪,Crime,FP
过失||Concept||related_to||意外事件||Concept,过失,Concept,related_to,意外事件,Concept,FP
过失||Concept||related_to||故意||Concept,过失,Concept,related_to,故意,Concept,FP
过失犯罪||Crime||includes||疏忽大意的过失||Crime,过失犯罪,Crime,includes,疏忽大意的过失,Crime,FP
过失犯罪||Crime||related_to||主客观相一致原则||Concept,过失犯罪,Crime,related_to,主客观相一致原则,Concept,FP
过失行为||Crime||causes||二因一果||Concept,过失行为,Crime,causes,二因一果,Concept,FP
过期食品||Concept||causes||顾客||Other,过期食品,Concept,causes,顾客,Other,FP
运输假币罪||Crime||defines||假币||Concept,运输假币罪,Crime,defines,假币,Concept,FP
重伤||Crime||related_to||打死||Crime,重伤,Crime,related_to,打死,Crime,FP
重罪||Crime||related_to||轻罪||Crime,重罪,Crime,related_to,轻罪,Crime,FP
重罪||Law||includes||轻罪||Law,重罪,Law,includes,轻罪,Law,FP
金融诈骗||Crime||includes||诈骗罪||Crime,金融诈骗,Crime,includes,诈骗罪,Crime,FP
间接故意||Concept||related_to||事实认识错误||Concept,间接故意,Concept,related_to,事实认识错误,Concept,FP
间接故意||Concept||related_to||直接故意||Concept,间接故意,Concept,related_to,直接故意,Concept,FP
隔离犯||Crime||includes||教唆犯||Crime,隔离犯,Crime,includes,教唆犯,Crime,FP
隔离犯||Crime||related_to||教唆犯||Crime,隔离犯,Crime,related_to,教唆犯,Crime,FP
非法拘禁罪||Crime||related_to||拐卖儿童罪||Crime,非法拘禁罪,Crime,related_to,拐卖儿童罪,Crime,FP
颇脑损伤||Crime||causes||死亡||Crime,颇脑损伤,Crime,causes,死亡,Crime,FP
食品质量||Concept||causes||过期食品||Concept,食品质量,Concept,causes,过期食品,Concept,FP
骏力||Other||related_to||胁迫||Crime,骏力,Other,related_to,胁迫,Crime,FP
鸣忽大意的过失||Concept||related_to||朴忽大意的过失||Concept,鸣忽大意的过失,Concept,related_to,朴忽大意的过失,Concept,FP
A+B||罪名||includes||盗穿罪||罪名,A+B,罪名,includes,盗穿罪,罪名,FN
上游犯罪||crime||causes||犯罪证据||evidence,上游犯罪,crime,causes,犯罪证据,evidence,FN
上游犯罪||crime||related_to||犯罪既遂||phase,上游犯罪,crime,related_to,犯罪既遂,phase,FN
不能犯||TERM||defines||对象不能犯||TERM,不能犯,TERM,defines,对象不能犯,TERM,FN
不能犯||TERM||related_to||犯罪形态||TERM,不能犯,TERM,related_to,犯罪形态,TERM,FN
专题讲座精讲卷||PUBLICATION||includes||事实认识错误||LEGAL_CONCEPT,专题讲座精讲卷,PUBLICATION,includes,事实认识错误,LEGAL_CONCEPT,FN
丙的渔网||entity||related_to||乙的渔网||entity,丙的渔网,entity,related_to,乙的渔网,entity,FN
丙的渔网||entity||related_to||打击错误||entity,丙的渔网,entity,related_to,打击错误,entity,FN
主观题||entity||includes||观点展示||entity,主观题,entity,includes,观点展示,entity,FN
二皇子||PERSON||causes||太子||PERSON,二皇子,PERSON,causes,太子,PERSON,FN
二皇子||PERSON||causes||太监||PERSON,二皇子,PERSON,causes,太监,PERSON,FN
二皇子||PERSON||related_to||太监||PERSON,二皇子,PERSON,related_to,太监,PERSON,FN
交通法规||LEGAL_CONCEPT||part_of||行政法||LEGAL_CONCEPT,交通法规,LEGAL_CONCEPT,part_of,行政法,LEGAL_CONCEPT,FN
交通秘事罪||LEGAL_CONCEPT||related_to||故意杀人罪||LEGAL_CONCEPT,交通秘事罪,LEGAL_CONCEPT,related_to,故意杀人罪,LEGAL_CONCEPT,FN
交通秘事罪||LEGAL_CONCEPT||related_to||过失犯罪||LEGAL_CONCEPT,交通秘事罪,LEGAL_CONCEPT,related_to,过失犯罪,LEGAL_CONCEPT,FN
人质||ENTITY||applies_to||绑架罪||ENTITY,人质,ENTITY,applies_to,绑架罪,ENTITY,FN
侵占罪||CRIME||punishes||不当得利||LEGAL_CONCEPT,侵占罪,CRIME,punishes,不当得利,LEGAL_CONCEPT,FN
入户非法取财||ENTITY||related_to||抢劫||ENTITY,入户非法取财,ENTITY,related_to,抢劫,ENTITY,FN
具体的认识错误||CONCEPT||defines||同一构成要件内的认识错误||CONCEPT,具体的认识错误,CONCEPT,defines,同一构成要件内的认识错误,CONCEPT,FN
具体符合说||doctrine||defines||故意杀人罪未遂||crime,具体符合说,doctrine,defines,故意杀人罪未遂,crime,FN
具体符合说||doctrine||defines||过失致死亡罪||crime,具体符合说,doctrine,defines,过失致死亡罪,crime,FN
凶器||entity||causes||重伤||entity,凶器,entity,causes,重伤,entity,FN
刑法||LAW||related_to||专题讲座精讲卷||WORK,刑法,LAW,related_to,专题讲座精讲卷,WORK,FN
刑法||LEGAL_CONCEPT||related_to||故意||LEGAL_CONCEPT,刑法,LEGAL_CONCEPT,related_to,故意,LEGAL_CONCEPT,FN
前后行为||ENTITY||causes||二因一果||ENTITY,前后行为,ENTITY,causes,二因一果,ENTITY,FN
前女友||PERSONAL_RELATION||related_to||劫菲||CRIME,前女友,PERSONAL_RELATION,related_to,劫菲,CRIME,FN
动机错误||ENTITY||related_to||故意||ENTITY,动机错误,ENTITY,related_to,故意,ENTITY,FN
包庇罪||CRIME||applies_to||犯罪分子||PERSON,包庇罪,CRIME,applies_to,犯罪分子,PERSON,FN
医生||CONCEPT||applies_to||应当预见||CONCEPT,医生,CONCEPT,applies_to,应当预见,CONCEPT,FN
医生||CONCEPT||applies_to||手术||CONCEPT,医生,CONCEPT,applies_to,手术,CONCEPT,FN
医生||CONCEPT||causes||疏忽大意的过失||CONCEPT,医生,CONCEPT,causes,疏忽大意的过失,CONCEPT,FN
同一构成要件内的认识错误||CONCEPT||includes||客观构成要件||CONCEPT,同一构成要件内的认识错误,CONCEPT,includes,客观构成要件,CONCEPT,FN
外文书籍||BOOK||related_to||淫秽的小说||BOOK,外文书籍,BOOK,related_to,淫秽的小说,BOOK,FN
太子||PERSON||related_to||二皇子||PERSON,太子,PERSON,related_to,二皇子,PERSON,FN
太子||PERSON||related_to||太监||PERSON,太子,PERSON,related_to,太监,PERSON,FN
妻子||PERSON||causes||毒酒||OBJECT,妻子,PERSON,causes,毒酒,OBJECT,FN
妻子||PERSON||related_to||儿子||PERSON,妻子,PERSON,related_to,儿子,PERSON,FN
妻子||person||applies_to||毒酒||object,妻子,person,applies_to,毒酒,object,FN
妻子||person||causes||过失的危险||danger,妻子,person,causes,过失的危险,danger,FN
妻子||person||related_to||丈夫||person,妻子,person,related_to,丈夫,person,FN
